Date,Cover,Book,Author,Leader,Notes,ISBN,Amazon Link,Image Link,Thumbnail Link
2015-06-06,,Alice in Wonderland,"Collins, Joan",,,0553213458,http://www.amazon.com/dp/product/0553213458,http://images.amazon.com/images/P/0553213458.jpg,http://images.amazon.com/images/P/0553213458.01.jpg
2015-07-11,,The Wright Brothers,"McCullough, David",Stephen Houser,,1476728755,http://www.amazon.com/dp/product/1476728755,http://images.amazon.com/images/P/1476728755.jpg,http://images.amazon.com/images/P/1476728755.01.jpg
2015-08-15,,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Hillenbrand, Laura",,,0812974492,http://www.amazon.com/dp/product/0812974492,http://images.amazon.com/images/P/0812974492.jpg,http://images.amazon.com/images/P/0812974492.01.jpg
2015-10-24,,"Cabin Lessons: A Tale of 2x4s, Blisters, and Love","Carlsen, Spike",Joe Austin,,1612125670,http://www.amazon.com/dp/product/1612125670,http://images.amazon.com/images/P/1612125670.jpg,http://images.amazon.com/images/P/1612125670.01.jpg
2015-11-21,,The Warmth of Other Suns: The Epic Story of America's Great Migration,"Wilkerson, Isabel",Bill Blais,,0679763880,http://www.amazon.com/dp/product/0679763880,http://images.amazon.com/images/P/0679763880.jpg,http://images.amazon.com/images/P/0679763880.01.jpg
2015-12-19,,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Bill Blais,,0307352153,http://www.amazon.com/dp/product/0307352153,http://images.amazon.com/images/P/0307352153.jpg,http://images.amazon.com/images/P/0307352153.01.jpg
2016-01-16,,Who Built That: Awe-Inspiring Stories of American Tinkerpreneurs,"Malkin, Michelle",Bill Phillips,,1476784949,http://www.amazon.com/dp/product/1476784949,http://images.amazon.com/images/P/1476784949.jpg,http://images.amazon.com/images/P/1476784949.01.jpg
2016-02-13,,A Short History of Nearly Everything,Bill Bryson,,,076790818X,http://www.amazon.com/dp/product/076790818X,http://images.amazon.com/images/P/076790818X.jpg,http://images.amazon.com/images/P/076790818X.01.jpg
2016-05-15,,The Rise of Theodore Roosevelt,"Morris, Edmund",Stephen Houser,,0375756787,http://www.amazon.com/dp/product/0375756787,http://images.amazon.com/images/P/0375756787.jpg,http://images.amazon.com/images/P/0375756787.01.jpg
2016-06-04,,The Johnstown Flood,"McCullough, David",Joe Austin,,0671207148,http://www.amazon.com/dp/product/0671207148,http://images.amazon.com/images/P/0671207148.jpg,http://images.amazon.com/images/P/0671207148.01.jpg
2016-07-09,,Algorithms to Live By: The Computer Science of Human Decisions,"Christian, Brian",Stephen Houser,,1627790365,http://www.amazon.com/dp/product/1627790365,http://images.amazon.com/images/P/1627790365.jpg,http://images.amazon.com/images/P/1627790365.01.jpg
2016-08-27,,Alibaba: The House That Jack Ma Built,"Clark, Duncan",Bill Phillips,,0062413406,http://www.amazon.com/dp/product/0062413406,http://images.amazon.com/images/P/0062413406.jpg,http://images.amazon.com/images/P/0062413406.01.jpg
2016-10-15,,Overcomplicated: Technology at the Limits of Comprehension ,Samuel Arbesman,,,1591847761,http://www.amazon.com/dp/product/1591847761,http://images.amazon.com/images/P/1591847761.jpg,http://images.amazon.com/images/P/1591847761.01.jpg
2016-12-10,,"The Hidden Life of Trees: What They Feel, How They Communicate-Discoveries from a Secret World","Wohlleben, Peter",Bill Phillips,,1771642483,http://www.amazon.com/dp/product/1771642483,http://images.amazon.com/images/P/1771642483.jpg,http://images.amazon.com/images/P/1771642483.01.jpg
2017-01-28,,The Design of Everyday Things,"Norman, Donald A.",Stephen Houser,,0465050654,http://www.amazon.com/dp/product/0465050654,http://images.amazon.com/images/P/0465050654.jpg,http://images.amazon.com/images/P/0465050654.01.jpg
2017-02-25,,Nikola Tesla: Imagination and the Man That Invented the 20th Century,Sean Patrick,Bill Phillips,Two books this month. Tesla is only 50 pages or so.,B00CATSONE,http://www.amazon.com/dp/product/B00CATSONE,http://images.amazon.com/images/P/B00CATSONE.jpg,http://images.amazon.com/images/P/B00CATSONE.01.jpg
2017-02-25,,Reclaiming Conversation: The Power of Talk in a Digital Age,Sherry Turkle,Joe Austin,Two books this month. Tesla is only 50 pages or so.,0143109790,http://www.amazon.com/dp/product/0143109790,http://images.amazon.com/images/P/0143109790.jpg,http://images.amazon.com/images/P/0143109790.01.jpg
